37,VINOS AMERICA,RON,MATUSALEM PLATINO ,0.75,750,975,0,204.41,237.1156,29.63945,1.3,0,0,0,0,24/01/2024
38,VINOS AMERICA,RON,POTOSI A¥EJO,0.75,750,337.5,0,225.21,261.2436,32.65545,0.45,0,0,0,0,25/01/2024
39,VINOS AMERICA,RON,POTOSI BLANCO ,0.75,750,675,0,135.12,156.7392,19.5924,0.9,0,0,0,0,26/01/2024
40,VINOS AMERICA,RON,POTOSI EXTRA A¥EJO,0.75,750,637.5,0,456.16,529.1456,66.1432,0.85,0,0,0,0,27/01/2024
41,VINOS AMERICA,RON,ZACAPA 23,0.75,750,300,0,958.37,1111.7092,138.96365,0.4,0,0,0,0,28/01/2024
42,VINOS AMERICA,GIN,BEEFEATER,0.75,750,525,0,404.07,468.7212,58.59015,0.7,0,0,0,0,29/01/2024
43,VINOS AMERICA,,BOMBAY SAPHIRE,0.75,750,450,0,405.24,470.0784,58.7598,0.6,0,0,0,0,30/01/2024
44,VINOS AMERICA,,GIBSONS,0.7,700,980,0,187.13,217.0708,31.01011429,1.4,0,0,0,0,31/01/2024
45,VINOS AMERICA,,HENDRICKS,0.75,750,150,0,799.32,927.2112,115.9014,0.2,0,0,0,0,01/02/2024
46,VINOS AMERICA,,TANQUERAY,0.75,750,225,0,422.58,490.1928,61.2741,0.3,0,0,0,0,02/02/2024
47,VINOS AMERICA,VODKA,ABSOLUT AZUL,0.75,750,750,0,256.66,297.7256,37.2157,1,0,0,0,0,03/02/2024
48,VINOS AMERICA,,ERISTOFF,0.7,700,595,0,99.05,114.898,16.414,0.85,0,0,0,0,04/02/2024
49,VINOS AMERICA,,SMIRNOFF,0.75,750,937.5,0,171.97,199.4852,24.93565,1.25,0,0,0,0,05/02/2024
50,VINOS AMERICA,,SMIRNOFF TAMARINDO,0.75,750,1050,0,191.63,222.2908,27.78635,1.4,0,0,0,0,06/02/2024
51,VINOS AMERICA,,STOLICHNAYA ,0.75,750,825,0,258.62,299.9992,37.4999,1.1,0,0,0,0,07/02/2024
52,VINOS AMERICA,,TORRES 10,0.7,700,700,0,308.5,357.86,51.12285714,1,0,0,0,0,08/02/2024
53,VINOS AMERICA,,TORRES 15,0.7,700,700,0,481.06,558.0296,79.71851429,1,0,0,0,0,09/02/2024
54,,,TERRY CENTENARIO ,0.7,700,0,0,273.79,317.5964,45.37091429,0,0,0,0,0,10/02/2024
55,VINOS AMERICA,COGNAC,HENNESSY V.S.,0.7,700,350,0,843.98,979.0168,#­REF!,0.5,0,0,0,0,11/02/2024
56,VINOS AMERICA,,AMARO AVERNA,0.7,700,700,0,348.06,403.7496,57.67851429,1,0,0,0,0,12/02/2024
57,VINOS AMERICA,,APEROL,0.7,700,630,0,306.03,354.9948,50.71354286,0.9,0,0,0,0,13/02/2024
58,VINOS AMERICA,APERITIVOS,CAMPARI,0.75,750,750,0,370.69,430.0004,53.75005,1,0,0,0,0,14/02/2024
59,VINOS AMERICA,,CARPANO CLASICO ROSSO,1,1000,250,0,458.6,531.976,41.69090909,0.25,0,0,0,0,15/02/2024
60,VINOS AMERICA,,CARPANO DRY BLANCO ,1,1000,950,0,458.6,531.976,41.69090909,0.95,0,0,0,0,16/02/2024
61,VINOS AMERICA,,CHARTREUSE AMARILLO,0.7,700,700,0,943.19,1094.1004,134.7414286,1,0,0,0,0,17/02/2024
62,VINOS AMERICA,,CHAMBORD,0.75,750,750,0,516.6,599.256,64.575,1,0,0,0,0,18/02/2024
63,VINOS AMERICA,,FERNET BRANCA,0.75,750,600,0,493.61,572.5876,71.57345,0.8,0,0,0,0,19/02/2024
64,VINOS AMERICA,,LILLET BLANC ,0.75,750,600,0,356.25,413.25,59.03571429,0.8,0,0,0,0,20/02/2024
65,VINOS AMERICA,,MARTINI BIANCO DULCE ,0.75,750,750,0,241.59,280.2444,40.03491429,1,0,0,0,0,21/02/2024
66,VINOS AMERICA,,PUNT E MES ,0.75,750,300,0,390.64,453.1424,56.6428,0.4,0,0,0,0,22/02/2024
67,VINOS AMERICA,BITTER,ANGOSTURA AROMATICO,0.118,118,106.2,0,304.97,353.7652,,0.9,0,0,0,0,23/02/2024
68,VINOS AMERICA,BITTER,ANGOSTURA COCOA,0.118,118,118,0,333.36,386.6976,,1,0,0,0,0,24/02/2024
69,VINOS AMERICA,BITTER,ANGOSTURA ORANGE,0.118,118,5.9,0,316.67,367.3372,,0.05,0,0,0,0,25/02/2024
70,VINOS AMERICA,DIGESTIVOS,AMARETTO DI SARONNO,0.7,700,665,0,410.96,476.7136,68.10194286,0.95,0,0,0,0,26/02/2024
71,VINOS AMERICA,,ANCHO REYES ROJO,0.75,750,187.5,0,300.04,348.0464,68.18181818,0.25,0,0,0,0,27/02/2024
72,VINOS AMERICA,,BAILEYS,0.7,700,630,0,331.89,384.9924,63.63636364,0.9,0,0,0,0,28/02/2024
73,VINOS AMERICA,,CHINCHON DULCE ,1,1000,1000,0,275.61,319.7076,90.90909091,1,0,0,0,0,29/02/2024
74,VINOS AMERICA,,CHINCHON SECO,1,1000,950,0,275.61,319.7076,90.90909091,0.95,0,0,0,0,01/03/2024
75,VINOS AMERICA,,FLAMINGO DE CEREZA ,1,1000,1000,0,135.52,157.2032,90.90909091,1,0,0,0,0,02/03/2024
76,VINOS AMERICA,,FLAMINGO CACAO OSCURA,1,1000,950,0,135.52,157.2032,14.2912,0.95,0,0,0,0,03/03/2024
77,VINOS AMERICA,,FLAMINGO CACAO BLANCA,1,1000,1300,0,135.52,157.2032,14.2912,1.3,0,0,0,0,04/03/2024
78,VINOS AMERICA,,FLAMINGO FRESA,1,1000,0,0,135.52,157.2032,14.2912,0,0,0,0,0,05/03/2024
79,VINOS AMERICA,,GIFFARD VIOLET,0.7,700,875,0,393.1,455.996,65.14228571,1.25,0,0,0,0,06/03/2024
80,VINOS AMERICA,,KAHLUA,1,1000,800,0,169.28,196.3648,90.90909091,0.8,0,0,0,0,07/03/2024
81,VINOS AMERICA,,LICOR 43,0.7,700,70,0,444.57,515.7012,73.6716,0.1,0,0,0,0,08/03/2024
82,VINOS AMERICA,,MARRASCHINO PALLINI,0.7,700,315,0,589.66,684.0056,97.71508571,0.45,0,0,0,0,09/03/2024
83,VINOS AMERICA,,SAMBUCA VACCARI NERO,0.7,700,700,0,302.14,350.4824,50.06891429,1,0,0,0,0,10/03/2024
84,VINOS AMERICA,,ST. GERMAIN,0.75,750,487.5,0,627.81,728.2596,91.03245,0.65,0,0,0,0,11/03/2024
85,VINOS AMERICA,,STREGA,0.75,750,525,0,625.01,725.0116,90.62645,0.7,0,0,0,0,12/03/2024
86,VINOS AMERICA,,JEREZ TIO PEPE,0.75,750,712.5,0,352.6,409.016,51.127,0.95,0,0,0,0,13/03/2024
87,VINOS AMERICA,,V.E. CINZANO PRO SPRITZ,0.75,750,1425,0,171.55,198.998,39.7996,1.9,0,0,0,0,14/03/2024
88,VINOS AMERICA,,V.R. GROUND HILL ROSE WHITE SINFANDEL,0.75,750,0,0,189.64,219.9824,43.99648,0,0,0,0,0,15/03/2024
89,VINOS AMERICA,,VINO TINTO CALIFORNIA,4,4000,1200,0,325.26,377.3016,,0.3,0,0,0,0,16/03/2024
